text,tags
"""So @google has been speedy supporting appalling racist candidates and super slow as a search engine on my computer.

Makes me even happier I’ve been 100% @firefox lately.""","EN,slow,Help Me,Not Fan Luv"
"""@bradengw @Google @firefox Yeah I know....""","EN,slow,Help Me,Not Fan Luv"
"""@firefox Used to be good, but I had to leave it behind, way too slow!""","EN,slow,Help Me,Not Fan Luv"
"""Until today I could not use a fixed zoom in Firefox. Even following an official tutorial, there were still several inconsistencies. I also need a translator that translates the entire page for now using google translator. Does anybody know how to solve this? @firefox  #Firefox""","EN,Help Me"
"""Love firefox, but could someone explain how it's using 'less memory'? I have to restart every hour or so, after it gobbles up &gt;5Gb of memory. My machine starts slowing down and then it's 6Gb... then, it stops.

Perhaps? an add on to clear memory, once a page is closed? Please?""","EN,Fan Luv,RAM,Help Me"
"""@firefox video in https://t.co/uul9uCTIiL same issues heavy and can't work and stopped and delay""","EN,Video,Help Me"
"""I'm a happy user of @firefox and Sync is a big reason why 🔥https://t.co/3EK9F2HOc1""","Sync,EN,Help Me"
"""Feels like @Google making its own services to work poorly on @firefox       intentionally.

For example:
* hangout does not work at all
* youtube does not have dark theme and player is smaller
* docs loading much longer""","EN,Fan Luv,Help Me"
"""I'm excited to start my new role at @mozilla - leading a talented team of engineers dedicated to testing @firefox performance! Here are the books I'm working my way through. Send me your tips and recommendations! 🔥🦊⏱️ #help #manager #firefox #performance https://t.co/hDYYwZxFlu""","EN,Help Me"
"""Firefox Sync from @firefox allows users to share browser #data between different devices, but also protects all synced data https://t.co/gowQzrTcqm""","Sync,EN,Help Me"
"""@Ari33260 @AlxTNF @MathieuSpi @firefox_FR Des fois Firefox me bouffe 3-4 go de ram (après j'ai 15 onglets mais bon 😭)""","FR,Help Me,RAM"
"""@Ari33260 @AlxTNF @MathieuSpi @firefox_FR Yep au début, mais ya une page je crois pour libérer de la ram sans fermer Firefox""","FR,Help Me,RAM"
"""@Ari33260 @AlxTNF @MathieuSpi @firefox_FR Tape dans la barre d'URL ""about:memory"", il doit y avoir un bouton free memory, dans mes souvenirs sa libérait un peu de ram, peut être que ça ne marche plus 😅""","FR,Help Me,RAM"
"""@Ari33260 @AlxTNF @MathieuSpi @firefox_FR Ah ba ça a l'air de toujours fonctionner ! De rien 😉""","FR,Help Me,RAM"
"""@AlxTNF @MathieuSpi @firefox_FR il faut faire un truc là https://t.co/yeFROix9Ka""","FR,Help Me"
"""@Box2811HDev @AlxTNF @MathieuSpi @firefox_FR j'ai 3 pages ouverts, Firefox me déçoit au début il prenait très peu de ram .""","FR,Help Me"
"""@Box2811HDev @AlxTNF @MathieuSpi @firefox_FR Libérer de la ram sans fermer Firefox, comment tu fais ?""","FR,Help Me"
"""@Box2811HDev @AlxTNF @MathieuSpi @firefox_FR ooooh merci, je connaisais pas, je suis à 600 Mo au lieu de 1Go maintenant :)""","FR,Help Me"
"""@Box2811HDev @AlxTNF @MathieuSpi @firefox_FR Yep Merci !""","FR,Help Me"
"""Why @facebook is loading very slow on @firefox ? #quantum #firefox""","EN,slow,Help Me,Not Fan Luv"
"""HEY @Crowdfire what is up with this when I try to refresh/reload the  page you used to have a refresh button on the page itself how about  fixing this and btw it happens on all browsers @FireFox @googlechrome https://t.co/oJhxHsuMew""","EN,Help Me"
"""HEY @Crowdfire what is up with this when I try to refresh/reload the page you used to have a refresh button on the page itself how about fixing this and btw it happens on all browsers @FireFox @googlechrome https://t.co/zt4jH8W5ZJ""","EN,Help Me"
"""@firefox One thing I had disliked about Firefox was the performance and lack of features before. I'm glad to see things are changing for the better. I would really love to see that password manager come through the program though, it's nice to have these things integrated into the browser""","EN,Fan Luv,Help Me"
"""@firefox https://t.co/v9eb9MPS19 and toyota usa down too slow and too heavy and broken""","EN,slow,Help Me,Not Fan Luv"
"""While I am a happy @firefox user, it's nice to catch up on what is happening with Chrome. Day 1 Keynote (Chrome Dev Summit 2018) https://t.co/ob9fZiM6lc via @YouTube""","EN,Help Me"
"""@firefox https://t.co/Jmyc8U8gt4 slow and heavy and bad and weak""","EN,slow,Help Me,Not Fan Luv,No Action Taken"
"""@tejasbubane @shobhitic @gmail @firefox I wonder if it’s same story for Android. I mean their flagships slow down in a year!""","EN,slow,Help Me,Android,Not Fan Luv,No Action Taken"
"""@mozilla @firefox 

$ curl -v https://t.co/C1MYTNkd9k
*   Trying 54.230.227.216...
* connect to 54.230.227.216 port 80 failed: Connection timed out
$ curl -v https://t.co/YdhteIiI2R
*   Trying 54.230.227.216...
* connect to 54.230.227.216 port 443 failed: Connection timed out""","EN,Help Me"
"""@mozilla  @firefox My Firefox over Linux was kinda slow today. Deleted my local profile (and everything went well), but now I can't sign in to my Firefox account. It seems that 'https://t.co/hJ9NAafT89' is down.

https://t.co/GixCFhLK2X""","EN,slow,Help Me,Not Fan Luv"
"""Been enjoying using @firefox more and more recently, since Chrome has been going so slow. But still don't have all of my extensions and bookmarks, which is stopping me making the full switch.""","Bookmarks,EN,slow,Help Me,Not Fan Luv"
"""@firefox Still no. Nice try though, it's not all bad. Just locks up frequently to the point I have to force a power off / on cycle. And it keeps updating shit even after turning off the automatic update option. WTF guys?""","EN,Help Me"
"""@firefox https://t.co/Mi9WK580pu images down in the site and heavy and not show's and not work correctly and bad and weak and slow and delay""","EN,slow,Help Me,Not Fan Luv"
"""How many #HTTP security headers did you hardenize on your web server? Kudos to @firefox for tackling them all https://t.co/SVxhdcmxE9""","EN,Help Me"
"""@Firefox
I've been a user since 1.0.
Been a contributor since 2005, although, I'm currently on a hiatus while I reevaluate things. 
I love Mozilla, Mozilla's been amazing to me, but.
4th crash within a week.
New, capable PC.
I don't need support suggestions, just please pass on""","EN,Fan Luv,Help Me,Crashes,Not Fan Luv"
