tags ,text
"EN,Help Me","""@Jason_Lau87 Hi, we need more information so that we can help you as much as possible, such as fonts under the browser? too small? too large?... Thank's -CV"""
"EN,No Action Taken,Pending,slow,Video,Help Me,Not Fan Luv,TrackingProtection,Bookmarks","""@DerekZoigt There's a difference between complaining &amp; calling something out &amp; we're always working to improve the browser!

Firefox is the only browser built to serve you, not a bottom line. Using it means the internet has more choice, security options &amp; competition. https://t.co/5OUSjng3ZQ"""
"EN,Help Me","""@triagegirl dang it, we should have sent out holiday cards that said that.

Maybe Mother's Day/Father's Day this year. . ."""
"EN,Help Me","""@LuxiPens Hi, you must check if your antivirus, firewall and operating system have not had the settings changed. otherwise we are interested in a screenshot to see the message you get. Thank's -CV"""
"EN,Video,Help Me","""@edp0gi Hi, you can take screenshots using the native browser function as follows  https://t.co/ZCiKW56jrF -CV"""
"EN,Fan Luv,Help Me","""@crash98548 Hi, I share with you the tutorial that will help you perform the operation  https://t.co/wM8kpoa4xr -CV"""
"EN,Help Me","""@fallsdownstairs Hi, there is a way to fix problems by performing a refresh in the following way  https://t.co/4kwbJP4IQO  -CV"""
"DE,Help Me","""@Isegrimm_666 @firefox_DE Könntest du einen Screenshot machen? Ich kann das Problem gerade nicht nachvollziehen. -JH"""
"EN,Help Me,Bookmarks","""@Pennyvane10 Hey Penny, you can ""Select All Tabs"" in the tab drop-down, and then you may go ahead and do the right-click on it again and say ""Bookmark Tabs..."". Hope this helps you. :) -JH"""
"EN,Help Me","""@ipheek Hey Gabe, we explained this here so you can safely remove a search engine: https://t.co/PwSXd0H4JP :)

Or do you mean you removed it and it is added constantly again? -JH"""
"EN,Help Me","""@ipheek Awesome, let me know then. :) -JH"""
"PT-BR,Help Me,hate tweets","""@erickdiasbr Olá Erick! Diversos fatores podem levar a um alto consumo de memória, dentre eles estão: extensões ou temas, aceleração de hardware, uma versão desatualizada do Firefox... Veja algumas dicas no seguinte artigo: https://t.co/Ny67c5kkEp 🙂  - JRM"""
"EN,Help Me","""@narsacgm @googlechrome Hi, the button exists with the + sign at the end of the tabs.  -CV"""
"Bookmarks,EN,Help Me","""@existendure Hi, I share with you the tutorial that gives you a lot of information  https://t.co/nH9Jcfc4l6 and the add-on https://t.co/OzsfHAe9nO -CV"""
"DE,Help Me,Android","""@AlfredFrst @firefox_DE Hallo Alfred, das letzte Update wurde am 14. Dezember(vorgestern) im Play Store veröffentlicht, also am Tag deines Tweets. Hast du dieses bereits erhalten? -JH"""
"Bookmarks,EN,Help Me","""@2P4E Hi, there is a tutorial that gives the alternative solution  https://t.co/nH9Jcfc4l6 and the add-on https://t.co/OzsfHAe9nO -CV"""
